raw,ln,LOG10,cellid,gt,ms
13.50787,2.603272479,1.130586872,1,WT,A
13.51066,2.603479003,1.130676565,1,WT,A
13.57887,2.608514908,1.132863631,1,WT,A
13.57907,2.608529637,1.132870027,1,WT,A
13.60924,2.610748974,1.133833873,1,WT,A
13.68661,2.616417983,1.136295892,1,WT,A
13.69359,2.61692784,1.136517321,1,WT,A
13.89042,2.631199394,1.142715378,1,WT,A
13.90355,2.632144203,1.143125703,1,WT,A
13.97217,2.637067494,1.145263861,1,WT,A
13.97769,2.637462487,1.145435404,1,WT,A
14.02735,2.641008995,1.146975633,1,WT,A
14.14606,2.64943614,1.150635496,1,WT,A
14.14707,2.649507536,1.150666502,1,WT,A
14.26328,2.657688403,1.154219408,1,WT,A
14.27657,2.658619732,1.154623879,1,WT,A
14.2845,2.659175033,1.154865043,1,WT,A
14.38965,2.666509198,1.158050231,1,WT,A
14.45755,2.671216769,1.160094703,1,WT,A
14.53689,2.676689557,1.162471504,1,WT,A
14.58223,2.679803664,1.163823944,1,WT,A
14.58481,2.679980576,1.163900776,1,WT,A
14.66535,2.685487568,1.166292432,1,WT,A
14.73328,2.69010888,1.168299443,1,WT,A
14.79807,2.694496767,1.170205077,1,WT,A
14.81601,2.695708353,1.170731262,1,WT,A
14.8203,2.695997863,1.170856995,1,WT,A
14.83345,2.696884766,1.171242172,1,WT,A
14.87497,2.699679935,1.172456099,1,WT,A
14.89206,2.700828185,1.172954777,1,WT,A
14.89682,2.701147767,1.17309357,1,WT,A
14.95544,2.705075113,1.174799195,1,WT,A
14.97673,2.706497663,1.175417,1,WT,A
15.03693,2.710509175,1.177159178,1,WT,A
15.057,2.711842999,1.17773845,1,WT,A
15.0797,2.713349468,1.178392702,1,WT,A
15.0966,2.714469553,1.178879148,1,WT,A
15.11144,2.715452073,1.179305851,1,WT,A
15.1783,2.719866776,1.181223132,1,WT,A
15.19041,2.720664308,1.181569496,1,WT,A
15.32481,2.729473084,1.185395099,1,WT,A
15.33184,2.729931712,1.185594278,1,WT,A
15.33772,2.730315154,1.185760805,1,WT,A
15.37682,2.732861181,1.186866531,1,WT,A
15.61268,2.748083405,1.193477458,1,WT,A
15.62877,2.749113447,1.1939248,1,WT,A
15.77221,2.758249531,1.197892551,1,WT,A
15.79792,2.759878286,1.19859991,1,WT,A
15.84177,2.762650123,1.199803704,1,WT,A
15.86177,2.763911811,1.200351648,1,WT,A
15.98324,2.771540673,1.203664821,1,WT,A
16.07425,2.777218613,1.206130719,1,WT,A
16.15292,2.782100838,1.208251042,1,WT,A
16.27269,2.789488243,1.211459351,1,WT,A
16.29887,2.79109578,1.212157496,1,WT,A
16.31529,2.792102705,1.212594798,1,WT,A
16.31571,2.792128447,1.212605977,1,WT,A
16.39866,2.797199624,1.214808362,1,WT,A
16.43061,2.799146059,1.215653687,1,WT,A
16.6001,2.809408719,1.220110704,1,WT,A
16.77196,2.819708444,1.224583818,1,WT,A
16.90812,2.82779398,1.228095321,1,WT,A
17.00854,2.833715571,1.230667036,1,WT,A
17.09266,2.838649132,1.232809654,1,WT,A
17.12468,2.840520698,1.233622465,1,WT,A
17.14186,2.841523425,1.234057944,1,WT,A
17.19072,2.844369703,1.235294067,1,WT,A
17.22824,2.846549898,1.236240913,1,WT,A
17.29625,2.850489715,1.237951954,1,WT,A
17.46012,2.859919423,1.242047224,1,WT,A
17.49003,2.861631004,1.242790554,1,WT,A
17.53239,2.864050027,1.243841123,1,WT,A
17.60609,2.868244865,1.245662918,1,WT,A
17.61954,2.869008513,1.245994566,1,WT,A
17.65968,2.871284075,1.24698283,1,WT,A
17.7126,2.874276251,1.248282315,1,WT,A
17.74735,2.876236209,1.249133514,1,WT,A
17.77233,2.877642753,1.249744369,1,WT,A
17.84679,2.88182366,1.251560113,1,WT,A
17.92863,2.886398876,1.253547105,1,WT,A
17.95084,2.88763691,1.254084776,1,WT,A
17.9754,2.889004156,1.254678563,1,WT,A
17.99568,2.890131729,1.255168262,1,WT,A
18.00843,2.890839982,1.255475852,1,WT,A
18.01514,2.891212515,1.255637641,1,WT,A
18.0152,2.891215846,1.255639088,1,WT,A
18.02308,2.891653159,1.25582901,1,WT,A
18.05376,2.893353973,1.256567665,1,WT,A
18.05397,2.893365605,1.256572716,1,WT,A
18.10345,2.896102528,1.257761347,1,WT,A
18.13484,2.89783495,1.258513728,1,WT,A
18.21712,2.902361811,1.260479719,1,WT,A
18.25956,2.904688778,1.261490308,1,WT,A
18.34919,2.909585432,1.263616898,1,WT,A
18.46259,2.915746523,1.266292625,1,WT,A
18.50618,2.91810473,1.267316782,1,WT,A
18.53533,2.919678641,1.268000323,1,WT,A
18.58047,2.922111029,1.269056695,1,WT,A
18.63499,2.925040996,1.270329164,1,WT,A
18.71386,2.929264426,1.272163376,1,WT,A
18.74006,2.930663479,1.272770977,1,WT,A
18.76044,2.931750397,1.27324302,1,WT,A
18.77037,2.932279563,1.273472833,1,WT,A
18.81705,2.934763374,1.274551539,1,WT,A
18.88011,2.938108987,1.27600452,1,WT,A
18.88167,2.93819161,1.276040403,1,WT,A
18.96299,2.942489185,1.277906816,1,WT,A
18.96454,2.94257092,1.277942313,1,WT,A
18.99931,2.944402663,1.278737829,1,WT,A
19.00373,2.944635276,1.278838851,1,WT,A
19.06805,2.94801416,1.280306282,1,WT,A
19.18682,2.954223585,1.283003001,1,WT,A
19.24554,2.957279346,1.284330101,1,WT,A
19.314,2.960830222,1.285872227,1,WT,A
19.4281,2.966720472,1.28843033,1,WT,A
19.49006,2.969904592,1.289813176,1,WT,A
19.50275,2.970555481,1.290095854,1,WT,A
19.73924,2.982608533,1.295330427,1,WT,A
19.86922,2.989171801,1.298180818,1,WT,A
19.97334,2.994398384,1.300450695,1,WT,A
20.07239,2.999345239,1.302599087,1,WT,A
20.38292,3.014697295,1.3092664,1,WT,A
20.4469,3.017831282,1.310627473,1,WT,A
20.45126,3.018044494,1.31072007,1,WT,A
20.61702,3.026116948,1.314225892,1,WT,A
20.693,3.029795479,1.315823458,1,WT,A
20.71752,3.030979719,1.316337767,1,WT,A
20.75052,3.032571307,1.317028984,1,WT,A
20.85853,3.037762977,1.319283698,1,WT,A
20.95984,3.042608226,1.321387963,1,WT,A
21.04612,3.04671622,1.323172042,1,WT,A
21.16638,3.052414074,1.325646589,1,WT,A
21.49394,3.067771035,1.332316032,1,WT,A
21.49601,3.067867337,1.332357855,1,WT,A
21.54903,3.070330804,1.333427726,1,WT,A
21.56608,3.07112171,1.333771212,1,WT,A
21.62175,3.073699753,1.334890842,1,WT,A
21.67724,3.076262862,1.336003986,1,WT,A
21.83574,3.083548077,1.339167914,1,WT,A
21.88342,3.085729272,1.340115196,1,WT,A
21.90153,3.086556497,1.340474455,1,WT,A
21.93446,3.088058916,1.341126947,1,WT,A
22.09389,3.0953011,1.344272187,1,WT,A
22.10324,3.095724204,1.344455939,1,WT,A
22.12177,3.096562192,1.344819873,1,WT,A
22.24629,3.102175253,1.347257594,1,WT,A
22.35512,3.107055378,1.349377005,1,WT,A
22.3836,3.108328548,1.349929936,1,WT,A
22.41905,3.109911044,1.350617206,1,WT,A
22.48776,3.112971161,1.351946198,1,WT,A
22.54848,3.115667658,1.353117271,1,WT,A
22.68035,3.121498911,1.355649752,1,WT,A
22.75124,3.124619649,1.357005072,1,WT,A
22.77403,3.125620852,1.357439888,1,WT,A
22.81969,3.12762376,1.35830974,1,WT,A
22.84648,3.128797057,1.358819297,1,WT,A
23.0021,3.135585516,1.361767487,1,WT,A
23.04858,3.137604162,1.362644174,1,WT,A
23.09114,3.139448994,1.363445374,1,WT,A
23.20949,3.144561247,1.365665597,1,WT,A
23.26975,3.147154234,1.366791717,1,WT,A
23.37328,3.15159349,1.368719662,1,WT,A
23.40975,3.153152602,1.369396776,1,WT,A
23.42156,3.153656966,1.369615818,1,WT,A
23.45699,3.155168531,1.370272283,1,WT,A
23.58277,3.160516361,1.372594815,1,WT,A
23.73803,3.167078403,1.375444674,1,WT,A
23.84373,3.17152129,1.377374195,1,WT,A
23.86858,3.17256295,1.377826583,1,WT,A
23.89966,3.173864233,1.378391723,1,WT,A
24.0683,3.180895622,1.381445416,1,WT,A
24.14165,3.183938565,1.382766949,1,WT,A
24.27664,3.189514571,1.385188578,1,WT,A
24.42553,3.195628897,1.387843996,1,WT,A
24.58595,3.202175142,1.390686994,1,WT,A
24.80294,3.210962195,1.394503163,1,WT,A
24.87218,3.21374991,1.395713852,1,WT,A
25.10998,3.223265377,1.399846367,1,WT,A
25.22413,3.227801076,1.401816196,1,WT,A
25.38022,3.23397013,1.404495382,1,WT,A
25.49664,3.238546679,1.406482952,1,WT,A
25.50364,3.238821187,1.406602169,1,WT,A
25.54459,3.240425553,1.407298936,1,WT,A
25.76722,3.249103141,1.411067565,1,WT,A
25.98213,3.257408994,1.414674751,1,WT,A
26.01974,3.258855481,1.415302953,1,WT,A
26.20512,3.265954812,1.418386153,1,WT,A
26.66072,3.283191321,1.425871874,1,WT,A
26.68757,3.284197914,1.426309032,1,WT,A
27.03576,3.297160434,1.431938582,1,WT,A
27.10345,3.299661026,1.433024576,1,WT,A
27.39591,3.310393732,1.437685731,1,WT,A
27.66918,3.320319158,1.441996289,1,WT,A
27.69048,3.321088672,1.442330484,1,WT,A
28.00965,3.332549094,1.447307682,1,WT,A
28.03561,3.333475488,1.44771001,1,WT,A
28.06454,3.334506858,1.448157928,1,WT,A
28.13525,3.337023239,1.449250778,1,WT,A
28.21015,3.339681842,1.450405395,1,WT,A
28.21352,3.339801296,1.450457273,1,WT,A
28.31667,3.343450677,1.45204218,1,WT,A
28.36934,3.345308985,1.452849232,1,WT,A
28.40653,3.346619048,1.453418186,1,WT,A
28.59566,3.353254958,1.456300125,1,WT,A
28.61924,3.354079219,1.456658097,1,WT,A
28.78144,3.359730735,1.459112519,1,WT,A
29.00954,3.367624741,1.462540842,1,WT,A
29.04814,3.368954454,1.463118329,1,WT,A
29.47915,3.383683234,1.469514957,1,WT,A
29.58084,3.387126854,1.471010502,1,WT,A
30.29344,3.410931187,1.481348593,1,WT,A
30.45421,3.416224244,1.483647338,1,WT,A
30.55045,3.419379415,1.485017612,1,WT,A
30.62294,3.421749401,1.486046883,1,WT,A
30.86031,3.429470892,1.489400284,1,WT,A
30.90566,3.430939339,1.490038023,1,WT,A
31.12733,3.438086211,1.49314187,1,WT,A
31.4683,3.44898069,1.497873282,1,WT,A
31.57079,3.452232326,1.499285449,1,WT,A
31.91447,3.463059512,1.503987637,1,WT,A
31.92843,3.463496835,1.504177564,1,WT,A
32.29687,3.474970322,1.509160435,1,WT,A
32.35978,3.476916294,1.51000556,1,WT,A
32.54596,3.482653244,1.512497086,1,WT,A
33.09855,3.499489475,1.519808968,1,WT,A
33.10907,3.499807263,1.519946982,1,WT,A
33.46573,3.51052193,1.524600303,1,WT,A
33.91739,3.523927862,1.530422425,1,WT,A
33.91938,3.523986532,1.530447905,1,WT,A
34.15184,3.530816465,1.533414107,1,WT,A
34.28531,3.534716983,1.535108081,1,WT,A
34.42089,3.538663648,1.536822095,1,WT,A
34.56076,3.542718934,1.538583284,1,WT,A
35.08896,3.557886551,1.545170496,1,WT,A
35.21826,3.561564698,1.546767895,1,WT,A
35.41883,3.5672436,1.549234211,1,WT,A
35.61977,3.572900821,1.551691111,1,WT,A
36.14716,3.587598384,1.558074181,1,WT,A
36.44418,3.595781775,1.561628183,1,WT,A
37.1992,3.616287256,1.5705336,1,WT,A
37.63044,3.627813297,1.575539296,1,WT,A
37.7406,3.630736438,1.5768088,1,WT,A
38.13244,3.641065363,1.581294596,1,WT,A
38.28339,3.645016121,1.583010388,1,WT,A
38.64813,3.654498391,1.587128485,1,WT,A
38.8725,3.66028706,1.589642472,1,WT,A
39.03541,3.664469183,1.591458745,1,WT,A
39.06977,3.665349022,1.591840855,1,WT,A
39.61118,3.679111402,1.59781778,1,WT,A
39.65223,3.680147189,1.598267617,1,WT,A
39.70576,3.681496265,1.598853513,1,WT,A
40.1176,3.691815141,1.603334944,1,WT,A
41.92953,3.735990352,1.622519994,1,WT,A
42.33995,3.745731085,1.626750341,1,WT,A
42.37846,3.746640214,1.627145171,1,WT,A
42.65642,3.75317779,1.629984404,1,WT,A
42.66811,3.753451803,1.630103406,1,WT,A
43.40003,3.770460132,1.63749003,1,WT,A
43.85341,3.780852481,1.642003369,1,WT,A
43.98672,3.78388777,1.643321579,1,WT,A
44.24868,3.789825541,1.64590032,1,WT,A
45.56962,3.819241266,1.658675407,1,WT,A
45.88752,3.826193185,1.661694587,1,WT,A
46.11567,3.831152805,1.663848523,1,WT,A
46.78522,3.845567341,1.670108676,1,WT,A
47.51916,3.861132998,1.676868755,1,WT,A
47.94083,3.869967542,1.680705549,1,WT,A
48.55417,3.882680082,1.686226535,1,WT,A
49.07819,3.893414741,1.690888538,1,WT,A
49.49379,3.901847207,1.694550711,1,WT,A
49.72307,3.906469011,1.696557935,1,WT,A
49.97809,3.911584709,1.698779655,1,WT,A
49.99101,3.911843189,1.698891911,1,WT,A
52.46662,3.960177158,1.719883087,1,WT,A
52.51838,3.961163204,1.720311321,1,WT,A
53.09456,3.972074475,1.725050026,1,WT,A
53.43634,3.978491039,1.727836704,1,WT,A
54.78716,4.00345586,1.738678789,1,WT,A
56.1555,4.028124628,1.749392298,1,WT,A
56.25264,4.029852973,1.750142909,1,WT,A
56.59401,4.035903149,1.752770467,1,WT,A
56.74793,4.03861918,1.753950024,1,WT,A
57.16756,4.045986605,1.757149656,1,WT,A
59.14206,4.079942346,1.771896448,1,WT,A
60.45219,4.101852805,1.781412039,1,WT,A
60.88957,4.109061896,1.784542907,1,WT,A
62.76099,4.139333702,1.797689786,1,WT,A
63.01987,4.143450073,1.799477503,1,WT,A
63.19357,4.146202555,1.800672891,1,WT,A
66.79489,4.201626581,1.824743239,1,WT,A
68.09949,4.220969724,1.833143859,1,WT,A
74.34306,4.308690326,1.871240433,1,WT,A
84.48727,4.436600872,1.926791277,1,WT,A
88.03782,4.477766495,1.94466928,1,WT,A
100.8773,4.613904927,2.00379345,1,WT,A
104.8454,4.652486884,2.020549381,1,WT,A
119.9079,4.786723948,2.078847797,1,WT,A
121.9547,4.803649664,2.086198542,1,WT,A
135.3934,4.908184615,2.131597494,1,WT,A
467.6627,6.14774731,2.669932733,1,WT,A
4.746946,1.557501464,0.676414291,2,WT,A
5.47893,1.700909826,0.738695752,2,WT,A
5.664531,1.734224102,0.753163958,2,WT,A
5.671903,1.735524688,0.753728795,2,WT,A
5.82842,1.762745952,0.76555084,2,WT,A
6.012814,1.793892859,0.77907777,2,WT,A
6.074301,1.804066921,0.783496309,2,WT,A
6.077142,1.80453452,0.783699384,2,WT,A
6.333589,1.845867058,0.801649878,2,WT,A
6.442142,1.862861094,0.809030293,2,WT,A
6.464631,1.866345934,0.81054374,2,WT,A
6.512565,1.873733388,0.813752071,2,WT,A
6.55185,1.879747453,0.816363946,2,WT,A
6.660052,1.896127292,0.82347762,2,WT,A
6.740113,1.90807669,0.828667178,2,WT,A
6.742445,1.908422619,0.828817412,2,WT,A
6.875025,1.92789528,0.837274282,2,WT,A
6.890534,1.930148586,0.83825288,2,WT,A
6.915345,1.933742855,0.839813852,2,WT,A
6.92994,1.935851155,0.840729474,2,WT,A
7.087541,1.958338454,0.850495584,2,WT,A
7.095718,1.959491504,0.850996347,2,WT,A
7.156131,1.967969472,0.854678282,2,WT,A
7.193333,1.973154625,0.856930166,2,WT,A
7.229473,1.978166143,0.85910664,2,WT,A
7.238752,1.979448816,0.859663698,2,WT,A
7.290005,1.986504232,0.862727826,2,WT,A
7.34413,1.993901355,0.865940356,2,WT,A
7.354058,1.99525227,0.866527051,2,WT,A
7.359825,1.996036155,0.866867488,2,WT,A
7.36236,1.996380534,0.867017049,2,WT,A
7.488223,2.01333152,0.874378769,2,WT,A
7.523817,2.018073589,0.876438224,2,WT,A
7.535664,2.01964695,0.877121526,2,WT,A
7.558858,2.022720121,0.878456187,2,WT,A
7.582542,2.0258485,0.879814825,2,WT,A
