raw ,ln,LOG10,cellid,gt,ms
9.680449,2.270108285,0.985895501,1,WT,A
9.702868,2.272421512,0.986900123,1,WT,A
9.7069,2.272836973,0.987080556,1,WT,A
9.89334,2.291861803,0.995342935,1,WT,A
9.920586,2.294611992,0.996537326,1,WT,A
10.00605,2.30318991,1.000262669,1,WT,A
10.01016,2.303600577,1.000441019,1,WT,A
10.01397,2.303981118,1.000606286,1,WT,A
10.03213,2.305792942,1.001393151,1,WT,A
10.08272,2.310823068,1.003577707,1,WT,A
10.15854,2.318314731,1.006831295,1,WT,A
10.19595,2.321990583,1.008427697,1,WT,A
10.20407,2.32278666,1.008773429,1,WT,A
10.23957,2.326259627,1.010281719,1,WT,A
10.2964,2.33179432,1.012685406,1,WT,A
10.30057,2.332199234,1.012861258,1,WT,A
10.32632,2.334695976,1.013945579,1,WT,A
10.32634,2.334697913,1.01394642,1,WT,A
10.37787,2.339675654,1.016108226,1,WT,A
10.45795,2.347362455,1.019446561,1,WT,A
10.46028,2.347585227,1.01954331,1,WT,A
10.47334,2.348832981,1.020085202,1,WT,A
10.50419,2.351774225,1.021362569,1,WT,A
10.52188,2.353456899,1.022093344,1,WT,A
10.59076,2.359981923,1.024927126,1,WT,A
10.60041,2.36089268,1.025322663,1,WT,A
10.6268,2.363379112,1.026402507,1,WT,A
10.62899,2.363585174,1.026491998,1,WT,A
10.65878,2.366383966,1.027707498,1,WT,A
10.69964,2.370210096,1.029369166,1,WT,A
10.73419,2.373433974,1.030769278,1,WT,A
10.74817,2.374735508,1.031334527,1,WT,A
10.81354,2.380799053,1.033967891,1,WT,A
10.82498,2.381856426,1.034427103,1,WT,A
10.83438,2.382724411,1.034804064,1,WT,A
10.86957,2.385967142,1.036212364,1,WT,A
10.95044,2.393379638,1.03943157,1,WT,A
10.98194,2.396252105,1.040679067,1,WT,A
10.99382,2.397333297,1.041148622,1,WT,A
11.00363,2.398225218,1.041535979,1,WT,A
11.0084,2.398658618,1.041724202,1,WT,A
11.01339,2.399111805,1.041921018,1,WT,A
11.0423,2.401733352,1.043059542,1,WT,A
11.0669,2.403958671,1.044025986,1,WT,A
11.13336,2.409946007,1.046626252,1,WT,A
11.17318,2.413516264,1.048176795,1,WT,A
11.22313,2.417976827,1.050113993,1,WT,A
11.3099,2.425678448,1.053458765,1,WT,A
11.31479,2.426110719,1.053646498,1,WT,A
11.33795,2.428155506,1.054534537,1,WT,A
11.4521,2.438173119,1.058885132,1,WT,A
11.45723,2.438620972,1.059079631,1,WT,A
11.5208,2.444154097,1.061482637,1,WT,A
11.5555,2.447161514,1.062788742,1,WT,A
11.5607,2.447611415,1.062984131,1,WT,A
11.58738,2.449916575,1.06398525,1,WT,A
11.64958,2.455270128,1.066310268,1,WT,A
11.66341,2.456456591,1.066825543,1,WT,A
11.67778,2.457687891,1.067360289,1,WT,A
11.79234,2.467450168,1.071599992,1,WT,A
11.81467,2.46934198,1.072421596,1,WT,A
11.86804,2.473849073,1.074379001,1,WT,A
11.92448,2.47859343,1.07643945,1,WT,A
11.98163,2.483374644,1.078515904,1,WT,A
11.99624,2.484593267,1.079045146,1,WT,A
12.02214,2.48674995,1.079981781,1,WT,A
12.05104,2.489150963,1.081024528,1,WT,A
12.12698,2.495432722,1.083752661,1,WT,A
12.13901,2.496424234,1.084183269,1,WT,A
12.1864,2.500320576,1.085875429,1,WT,A
12.21895,2.502988025,1.087033888,1,WT,A
12.25817,2.506192653,1.08842564,1,WT,A
12.26081,2.506407997,1.088519162,1,WT,A
12.61364,2.534778768,1.100840432,1,WT,A
12.65512,2.538061876,1.102266268,1,WT,A
12.75501,2.545924136,1.105680803,1,WT,A
12.77794,2.547720247,1.106460845,1,WT,A
12.78762,2.548477515,1.106789722,1,WT,A
12.80705,2.549995801,1.107449105,1,WT,A
12.88699,2.556218275,1.110151492,1,WT,A
12.89287,2.556674445,1.110349604,1,WT,A
12.91364,2.558284117,1.111048675,1,WT,A
12.92312,2.559017955,1.111367377,1,WT,A
12.92996,2.559547099,1.111597181,1,WT,A
12.93683,2.560078282,1.111827871,1,WT,A
13.00025,2.564968588,1.113951704,1,WT,A
13.02725,2.567043317,1.114852748,1,WT,A
13.06522,2.569953738,1.116116727,1,WT,A
13.07187,2.570462593,1.11633772,1,WT,A
13.09932,2.57256032,1.117248752,1,WT,A
13.16803,2.577791922,1.119520807,1,WT,A
13.18226,2.578871986,1.119989873,1,WT,A
13.19586,2.579903144,1.120437699,1,WT,A
13.20298,2.580442562,1.120671965,1,WT,A
13.2204,2.581761091,1.121244595,1,WT,A
13.22398,2.582031848,1.121362184,1,WT,A
13.24506,2.583624653,1.12205393,1,WT,A
13.2691,2.585438024,1.122841467,1,WT,A
13.28763,2.586833527,1.123447526,1,WT,A
13.29421,2.587328602,1.123662535,1,WT,A
13.3333,2.590264665,1.124937651,1,WT,A
13.34381,2.591052607,1.12527985,1,WT,A
13.35474,2.591871378,1.125635437,1,WT,A
13.3681,2.592871272,1.126069686,1,WT,A
13.40873,2.595905987,1.127387646,1,WT,A
13.44819,2.598844525,1.128663836,1,WT,A
13.48789,2.601792246,1.129944015,1,WT,A
13.48789,2.601792246,1.129944015,1,WT,A
13.54639,2.606120091,1.131823575,1,WT,A
13.6614,2.614574338,1.135495207,1,WT,A
13.69494,2.617026422,1.136560134,1,WT,A
13.75527,2.621422023,1.13846912,1,WT,A
13.76635,2.622227209,1.138818807,1,WT,A
13.77793,2.623068037,1.139183974,1,WT,A
13.77793,2.623068037,1.139183974,1,WT,A
13.8498,2.628270792,1.141443502,1,WT,A
13.87755,2.630272427,1.142312801,1,WT,A
13.91607,2.633044287,1.143516605,1,WT,A
13.91609,2.633045725,1.143517229,1,WT,A
13.93138,2.63414385,1.143994138,1,WT,A
13.94332,2.635000541,1.144366195,1,WT,A
13.97038,2.636939374,1.145208219,1,WT,A
13.98183,2.63775863,1.145564017,1,WT,A
13.99404,2.638631525,1.145943111,1,WT,A
14.05351,2.642872187,1.147784807,1,WT,A
14.05667,2.643097016,1.147882449,1,WT,A
14.07657,2.644511713,1.148496844,1,WT,A
14.07986,2.644745407,1.148598337,1,WT,A
14.12407,2.647880434,1.149959861,1,WT,A
14.1241,2.647882558,1.149960784,1,WT,A
14.13196,2.648438899,1.1502024,1,WT,A
14.1679,2.650978842,1.151305483,1,WT,A
14.2531,2.656974427,1.153909332,1,WT,A
14.37151,2.665247775,1.157502401,1,WT,A
14.38046,2.665870341,1.157772778,1,WT,A
14.38848,2.666427886,1.158014917,1,WT,A
14.39254,2.666710017,1.158137445,1,WT,A
14.40464,2.667550377,1.158502409,1,WT,A
14.40513,2.667584393,1.158517182,1,WT,A
14.40551,2.667610772,1.158528638,1,WT,A
14.4339,2.669579607,1.159383692,1,WT,A
14.45918,2.671329507,1.160143664,1,WT,A
14.4592,2.67133089,1.160144265,1,WT,A
14.45923,2.671332965,1.160145166,1,WT,A
14.48041,2.672796701,1.160780859,1,WT,A
14.50505,2.674496865,1.16151923,1,WT,A
14.51376,2.675097165,1.161779937,1,WT,A
14.52235,2.675688842,1.162036899,1,WT,A
14.56035,2.678302081,1.163171815,1,WT,A
14.5852,2.680007316,1.163912389,1,WT,A
14.61142,2.681803415,1.164692425,1,WT,A
14.66715,2.685610299,1.166345734,1,WT,A
14.72749,2.689715815,1.168128737,1,WT,A
14.74504,2.690906755,1.168645955,1,WT,A
14.80196,2.694759604,1.170319226,1,WT,A
14.87162,2.699454699,1.17235828,1,WT,A
14.92108,2.702774978,1.173800259,1,WT,A
14.9428,2.704229578,1.174431984,1,WT,A
14.97513,2.706390825,1.175370601,1,WT,A
15.04638,2.711137431,1.177432026,1,WT,A
15.05879,2.711961874,1.177790077,1,WT,A
15.12827,2.716565179,1.179789267,1,WT,A
15.14233,2.717494133,1.180192707,1,WT,A
15.16051,2.718694021,1.180713811,1,WT,A
15.16059,2.718699298,1.180716103,1,WT,A
15.16141,2.718753384,1.180739592,1,WT,A
15.16494,2.718986185,1.180840696,1,WT,A
15.18373,2.72022446,1.181378472,1,WT,A
15.19732,2.721119097,1.181767008,1,WT,A
15.19784,2.721153312,1.181781868,1,WT,A
15.22998,2.723265854,1.182699333,1,WT,A
15.27649,2.726315045,1.18402358,1,WT,A
15.28548,2.726903358,1.184279081,1,WT,A
15.33758,2.730306026,1.185756841,1,WT,A
15.39383,2.73396678,1.187346686,1,WT,A
15.46074,2.738303907,1.189230277,1,WT,A
15.51331,2.741698365,1.190704471,1,WT,A
15.63022,2.74920622,1.193965091,1,WT,A
15.64986,2.750461971,1.194510457,1,WT,A
15.68381,2.75262897,1.195451572,1,WT,A
15.69786,2.753524397,1.195840452,1,WT,A
15.7183,2.754825639,1.196405573,1,WT,A
15.73785,2.756068639,1.196945402,1,WT,A
15.76356,2.757700947,1.197654304,1,WT,A
15.81762,2.761124509,1.199141138,1,WT,A
16.00498,2.772899924,1.204255136,1,WT,A
16.06219,2.776468063,1.205804759,1,WT,A
16.08747,2.778040708,1.20648775,1,WT,A
16.11378,2.779674807,1.20719743,1,WT,A
16.19687,2.784818014,1.209431096,1,WT,A
16.19693,2.784821718,1.209432705,1,WT,A
16.21796,2.78611927,1.209996225,1,WT,A
16.32446,2.792664597,1.212838824,1,WT,A
16.3882,2.796561564,1.214531255,1,WT,A
16.42604,2.79886788,1.215532876,1,WT,A
16.44825,2.800219089,1.216119698,1,WT,A
16.45242,2.800472579,1.216229788,1,WT,A
16.45295,2.800504792,1.216243778,1,WT,A
16.4535,2.800538221,1.216258296,1,WT,A
16.48526,2.802466648,1.217095801,1,WT,A
16.50764,2.803823304,1.217684989,1,WT,A
16.52892,2.805111574,1.218244478,1,WT,A
16.54544,2.806110535,1.218678321,1,WT,A
16.56743,2.80743872,1.219255144,1,WT,A
16.5948,2.809089393,1.219972023,1,WT,A
16.61689,2.810419648,1.220549745,1,WT,A
16.6169,2.81042025,1.220550006,1,WT,A
16.64498,2.812108669,1.221283278,1,WT,A
16.6667,2.813412717,1.221849618,1,WT,A
16.67748,2.814059306,1.222130429,1,WT,A
16.76717,2.819422808,1.224459768,1,WT,A
16.81769,2.822431309,1.225766343,1,WT,A
16.82993,2.823158849,1.22608231,1,WT,A
16.84097,2.823814608,1.226367102,1,WT,A
16.89211,2.826846649,1.227683901,1,WT,A
16.90324,2.82750532,1.227969958,1,WT,A
16.91442,2.828166513,1.22825711,1,WT,A
16.92001,2.828496945,1.228400615,1,WT,A
17.05417,2.836394749,1.231830588,1,WT,A
17.14676,2.841809234,1.234182069,1,WT,A
17.1639,2.842808341,1.234615976,1,WT,A
17.18813,2.844219029,1.23522863,1,WT,A
17.27171,2.849069903,1.237335337,1,WT,A
17.3131,2.85146344,1.238374838,1,WT,A
17.33706,2.852846407,1.238975452,1,WT,A
17.40915,2.85699593,1.240777567,1,WT,A
17.46427,2.86015708,1.242150437,1,WT,A
17.47029,2.860501724,1.242300114,1,WT,A
17.50065,2.862238023,1.243054179,1,WT,A
17.51267,2.862924619,1.243352364,1,WT,A
17.51267,2.862924619,1.243352364,1,WT,A
17.53182,2.864017516,1.243827003,1,WT,A
17.54992,2.865049391,1.244275141,1,WT,A
17.56791,2.866073942,1.244720098,1,WT,A
17.56797,2.866077358,1.244721581,1,WT,A
17.56854,2.866109803,1.244735672,1,WT,A
17.60533,2.868201697,1.24564417,1,WT,A
17.649,2.870679125,1.246720103,1,WT,A
17.67464,2.872130844,1.247350577,1,WT,A
17.68017,2.872443673,1.247486437,1,WT,A
17.70526,2.873861771,1.248102309,1,WT,A
17.71752,2.874553981,1.248402932,1,WT,A
17.82478,2.880589624,1.251024178,1,WT,A
17.82608,2.880662554,1.251055851,1,WT,A
17.83222,2.881006933,1.251205413,1,WT,A
17.85659,2.882372628,1.251798527,1,WT,A
17.93342,2.886666011,1.25366312,1,WT,A
17.95924,2.888104746,1.254287954,1,WT,A
17.9599,2.888141495,1.254303914,1,WT,A
17.96618,2.888491102,1.254455746,1,WT,A
18.03706,2.89242853,1.25616575,1,WT,A
18.07009,2.894258085,1.256960316,1,WT,A
18.17528,2.900062429,1.25948111,1,WT,A
18.17544,2.900071232,1.259484933,1,WT,A
18.23494,2.903339534,1.260904339,1,WT,A
18.38885,2.911744503,1.26455457,1,WT,A
18.38946,2.911777674,1.264568977,1,WT,A
18.49773,2.917648022,1.267118436,1,WT,A
18.49845,2.917686945,1.26713534,1,WT,A
18.49847,2.917688026,1.26713581,1,WT,A
18.50441,2.918009082,1.267275242,1,WT,A
18.552,2.9205776,1.268390736,1,WT,A
18.59386,2.922831419,1.269369557,1,WT,A
18.60124,2.923228245,1.269541896,1,WT,A
18.7271,2.929971673,1.27247053,1,WT,A
18.74079,2.930702432,1.272787894,1,WT,A
18.76148,2.931805832,1.273267095,1,WT,A
18.83322,2.935622332,1.27492458,1,WT,A
18.88186,2.938201673,1.276044773,1,WT,A
18.91675,2.940047773,1.276846524,1,WT,A
18.9608,2.94237369,1.277856657,1,WT,A
19.04051,2.946568815,1.279678577,1,WT,A
19.04758,2.946940059,1.279839806,1,WT,A
19.09879,2.949624982,1.281005853,1,WT,A
19.16457,2.953063262,1.282499079,1,WT,A
19.25968,2.958013791,1.284649067,1,WT,A
19.26803,2.958447246,1.284837314,1,WT,A
19.2684,2.958466448,1.284845653,1,WT,A
19.2902,2.959597195,1.28533673,1,WT,A
19.29738,2.959969335,1.285498349,1,WT,A
19.3047,2.96034859,1.285663057,1,WT,A
19.32768,2.961538265,1.286179727,1,WT,A
19.36466,2.963449755,1.287009876,1,WT,A
19.38737,2.964621823,1.287518899,1,WT,A
19.41011,2.965794064,1.288027997,1,WT,A
19.42487,2.966554204,1.288358121,1,WT,A
19.4928,2.970045167,1.289874227,1,WT,A
19.57709,2.974360005,1.291748137,1,WT,A
19.61536,2.976312933,1.292596283,1,WT,A
19.62435,2.976771142,1.292795281,1,WT,A
19.64528,2.977837106,1.293258223,1,WT,A
19.66954,2.979071246,1.293794203,1,WT,A
19.66958,2.97907328,1.293795087,1,WT,A
19.80974,2.986173736,1.296878776,1,WT,A
19.84106,2.987753528,1.29756487,1,WT,A
19.87353,2.989388696,1.298275015,1,WT,A
19.91297,2.991371278,1.299136039,1,WT,A
19.93447,2.992450394,1.299604694,1,WT,A
19.96808,2.994134999,1.300336308,1,WT,A
20.03276,2.997368933,1.301740788,1,WT,A
20.05633,2.998544815,1.302251467,1,WT,A
