raw,ln,LOG10,cellid,gt,ms
60.07857,4.095653206,1.778719587,1,WT,A
94.56273,4.549263424,1.975720002,1,WT,A
34.89314,3.552290248,1.542740053,1,WT,A
30.86505,3.429624476,1.489466985,1,WT,A
32.36766,3.477159776,1.510111303,1,WT,A
74.87129,4.315770506,1.874315316,1,WT,A
65.12534,4.176313721,1.813750004,1,WT,A
122.7354,4.810030819,2.088969842,1,WT,A
93.55849,4.538586802,1.971083204,1,WT,A
60.54966,4.103463855,1.782111709,1,WT,A
22.19759,3.099983724,1.346305826,1,WT,A
26.43334,3.274626092,1.422152042,1,WT,A
60.82882,4.10806369,1.784109392,1,WT,A
51.38929,3.939429785,1.710872617,1,WT,A
30.88031,3.430118764,1.489681651,1,WT,A
40.03014,3.68963267,1.602387109,1,WT,A
46.17298,3.832394779,1.664387905,1,WT,A
86.9708,4.46557243,1.939373465,1,WT,A
22.74111,3.1241743,1.356811659,1,WT,A
42.1307,3.740776691,1.624598675,1,WT,A
49.53606,3.902700889,1.694921461,1,WT,A
71.2314,4.265933732,1.85267148,1,WT,A
45.9103,3.826689493,1.661910131,1,WT,A
29.8451,3.396020672,1.474873038,1,WT,A
66.84042,4.202307987,1.82503917,1,WT,A
65.77102,4.186179316,1.818034577,1,WT,A
73.40596,4.296005131,1.865731323,1,WT,A
37.94011,3.636008864,1.579098586,1,WT,A
32.8877,3.493098728,1.517033502,1,WT,A
70.73441,4.258932159,1.849630735,1,WT,A
58.31026,4.065778064,1.765744978,1,WT,A
30.32324,3.411914415,1.481775603,1,WT,A
35.56193,3.571275684,1.550985323,1,WT,A
30.68771,3.423862249,1.486964481,1,WT,A
96.21358,4.566570512,1.983236375,1,WT,A
44.03428,3.784968421,1.6437909,1,WT,A
81.21602,4.397112518,1.909641703,1,WT,A
88.99454,4.48857502,1.949363363,1,WT,A
32.50486,3.481389617,1.5119483,1,WT,A
17.91105,2.885417841,1.253121046,1,WT,A
50.7,3.925925911,1.705007959,1,WT,A
51.38882,3.939420639,1.710868645,1,WT,A
49.3156,3.898240461,1.692984321,1,WT,A
44.84747,3.803267177,1.651737948,1,WT,A
35.66368,3.574132804,1.552226154,1,WT,A
59.75487,4.090250694,1.776373306,1,WT,A
33.45155,3.510098123,1.524416246,1,WT,A
77.56399,4.351103273,1.889660142,1,WT,A
102.8031,4.632815508,2.012006211,1,WT,A
44.64816,3.798813097,1.649803566,1,WT,A
40.85406,3.710006204,1.611235222,1,WT,A
55.89593,4.023491569,1.747380186,1,WT,A
34.07011,3.52842046,1.532373536,1,WT,A
29.29655,3.377469762,1.46681648,1,WT,A
38.6764,3.655229595,1.587446043,1,WT,A
36.75985,3.604406217,1.565373731,1,WT,A
43.70768,3.77752383,1.640557755,1,WT,A
36.94178,3.60934316,1.567517818,1,WT,A
80.30625,4.385847451,1.904749346,1,WT,A
32.3847,3.477686089,1.510339878,1,WT,A
29.71668,3.391708504,1.473000288,1,WT,A
55.87558,4.023127433,1.747222044,1,WT,A
80.7459,4.391307187,1.90712048,1,WT,A
55.98667,4.025113627,1.748084637,1,WT,A
49.44017,3.900763252,1.694079955,1,WT,A
62.60444,4.136836202,1.796605135,1,WT,A
42.83736,3.757410619,1.631822698,1,WT,A
42.59031,3.751626763,1.629310801,1,WT,A
114.2757,4.73861395,2.05795389,1,WT,A
39.94896,3.687602639,1.601505478,1,WT,A
31.68939,3.455981925,1.500913879,1,WT,A
30.21167,3.408228274,1.480174732,1,WT,A
50.17044,3.915426009,1.70044791,1,WT,A
53.30405,3.976012313,1.726760208,1,WT,A
21.57555,3.071560729,1.333961875,1,WT,A
32.21637,3.472474708,1.508076604,1,WT,A
95.01588,4.554044036,1.977796195,1,WT,A
31.45502,3.448558589,1.497689966,1,WT,A
44.83842,3.803065361,1.651650301,1,WT,A
27.17384,3.302254746,1.434151014,1,WT,A
134.0912,4.898520165,2.127400277,1,WT,A
66.3936,4.195600666,1.822126218,1,WT,A
31.56172,3.451944994,1.499160663,1,WT,A
34.58394,3.543389412,1.538874469,1,WT,A
46.17038,3.832338467,1.664363449,1,WT,A
55.58615,4.01793407,1.744966595,1,WT,A
33.64052,3.515731293,1.5268627,1,WT,A
28.52512,3.350785103,1.45522748,1,WT,A
171.6701,5.145574612,2.23469466,1,WT,A
78.89445,4.368110883,1.897046453,1,WT,A
71.70573,4.272570661,1.855553861,1,WT,A
25.95973,3.256546491,1.414300171,1,WT,A
79.29282,4.373147582,1.899233864,1,WT,A
71.60463,4.271159737,1.854941105,1,WT,A
35.70357,3.575250684,1.552711643,1,WT,A
51.21737,3.936078732,1.709417274,1,WT,A
56.33401,4.031298438,1.750770667,1,WT,A
92.38005,4.525911046,1.965578193,1,WT,A
32.9735,3.495704209,1.518165048,1,WT,A
41.43459,3.724116039,1.617363046,1,WT,A
100.1881,4.607049419,2.000816141,1,WT,A
39.24615,3.66985335,1.593797059,1,WT,A
32.16783,3.470966885,1.507421765,1,WT,A
65.29581,4.178927869,1.814885314,1,WT,A
53.63258,3.982156719,1.729428689,1,WT,A
72.34409,4.281433763,1.859403058,1,WT,A
22.62551,3.119078031,1.354598377,1,WT,A
51.21753,3.936081856,1.70941863,1,WT,A
110.6346,4.706232879,2.04389097,1,WT,A
30.96324,3.432800694,1.490846399,1,WT,A
131.824,4.8814677,2.119994486,1,WT,A
87.37927,4.470258069,1.941408412,1,WT,A
81.22184,4.397184177,1.909672824,1,WT,A
41.30124,3.720892524,1.615963091,1,WT,A
42.51847,3.74993857,1.628577628,1,WT,A
63.74209,4.154845098,1.804426299,1,WT,A
43.99449,3.784064399,1.643398288,1,WT,A
25.83552,3.251750289,1.412217207,1,WT,A
97.35064,4.578319306,1.988338811,1,WT,A
49.95354,3.911093373,1.69856627,1,WT,A
32.59076,3.484028813,1.513094488,1,WT,A
68.4505,4.226110856,1.835376625,1,WT,A
97.2125,4.576899304,1.987722112,1,WT,A
33.03109,3.497449239,1.518922905,1,WT,A
24.55369,3.200862148,1.390116768,1,WT,A
29.37506,3.380146015,1.467978762,1,WT,A
76.6496,4.339244387,1.884509893,1,WT,A
41.79804,3.732849448,1.621155917,1,WT,A
86.39417,4.458920197,1.936484437,1,WT,A
57.00192,4.043084951,1.755889484,1,WT,A
54.2415,3.993446298,1.734331691,1,WT,A
40.81546,3.709060931,1.610824695,1,WT,A
32.3041,3.475194157,1.509257646,1,WT,A
47.56928,3.862187175,1.677326578,1,WT,A
41.59057,3.727873459,1.618994872,1,WT,A
78.26556,4.360107659,1.893570697,1,WT,A
71.91251,4.275450241,1.856804447,1,WT,A
43.75764,3.778666226,1.641053891,1,WT,A
36.30782,3.592033145,1.560000174,1,WT,A
65.38449,4.180285074,1.815474741,1,WT,A
81.82713,4.404608851,1.912897319,1,WT,A
89.64259,4.495830542,1.952514396,1,WT,A
55.47272,4.015891368,1.744079461,1,WT,A
64.57025,4.167753778,1.810032468,1,WT,A
78.90674,4.368266649,1.897114101,1,WT,A
40.63404,3.704606139,1.608890004,1,WT,A
58.51502,4.069283473,1.767267358,1,WT,A
34.4678,3.540025555,1.537413564,1,WT,A
51.15844,3.934927484,1.708917293,1,WT,A
33.02598,3.497294524,1.518855714,1,WT,A
40.37474,3.698204342,1.606109739,1,WT,A
48.32552,3.877959786,1.684176536,1,WT,A
91.73349,4.518887525,1.962527917,1,WT,A
49.52358,3.90244892,1.694812032,1,WT,A
49.78461,3.9077059,1.697095109,1,WT,A
89.49398,4.49417136,1.951793823,1,WT,A
33.47204,3.510710463,1.524682182,1,WT,A
56.40849,4.032619679,1.751344474,1,WT,A
35.69233,3.57493582,1.5525749,1,WT,A
28.0689,3.334662202,1.448225393,1,WT,A
22.86646,3.129671208,1.359198936,1,WT,A
60.41103,4.101171704,1.78111624,1,WT,A
30.80746,3.427756868,1.488655893,1,WT,A
28.05606,3.334204651,1.448026682,1,WT,A
69.02764,4.234507004,1.839023025,1,WT,A
39.2182,3.669140925,1.593487657,1,WT,A
53.91197,3.987352531,1.731685202,1,WT,A
25.73364,3.247799085,1.410501221,1,WT,A
35.74387,3.576378786,1.553201572,1,WT,A
56.36729,4.031889026,1.751027156,1,WT,A
108.3095,4.684992869,2.034666551,1,WT,A
53.66507,3.982762324,1.7296917,1,WT,A
54.69729,4.001814165,1.73796581,1,WT,A
31.24982,3.442013616,1.49484752,1,WT,A
103.7763,4.642237621,2.016098182,1,WT,A
43.1104,3.763764267,1.634582052,1,WT,A
88.52273,4.483259355,1.947054799,1,WT,A
141.207,4.950226899,2.149856226,1,WT,A
32.13154,3.469838102,1.506931541,1,WT,A
114.8227,4.7433892,2.060027755,1,WT,A
96.32635,4.567741905,1.983745104,1,WT,A
103.673,4.641241715,2.015665666,1,WT,A
41.18385,3.718046189,1.614726943,1,WT,A
51.15823,3.934923379,1.70891551,1,WT,A
90.57476,4.506175587,1.957007192,1,WT,A
87.97771,4.477083487,1.944372653,1,WT,A
67.79709,4.216519274,1.831211053,1,WT,A
