raw ,ln,LOG10,cellid,gt,ms
2.277388,0.823029172,0.357437028,2,WT,A
2.317162,0.840343161,0.364956398,2,WT,A
2.325581,0.8439699,0.366531471,2,WT,A
2.415345,0.881842134,0.382979173,2,WT,A
2.480524,0.908469828,0.394543433,2,WT,A
2.503753,0.917790806,0.398591483,2,WT,A
2.53112,0.928661893,0.403312735,2,WT,A
2.636403,0.969415488,0.421011797,2,WT,A
2.668084,0.981360612,0.426199498,2,WT,A
2.707834,0.996149053,0.432622037,2,WT,A
2.715763,0.999072945,0.433891867,2,WT,A
2.720799,1.000925587,0.434696459,2,WT,A
2.752866,1.012642551,0.439785072,2,WT,A
2.787365,1.025096705,0.445193842,2,WT,A
2.798609,1.029122508,0.446942226,2,WT,A
2.820129,1.036782629,0.450268975,2,WT,A
2.827386,1.03935261,0.451385103,2,WT,A
2.844255,1.04530117,0.45396853,2,WT,A
2.845456,1.045723336,0.454151874,2,WT,A
2.84932,1.047080369,0.454741227,2,WT,A
2.980105,1.091958535,0.474231566,2,WT,A
2.984901,1.09356658,0.474929931,2,WT,A
3.009499,1.10177362,0.478494203,2,WT,A
3.017871,1.104551616,0.479700672,2,WT,A
3.021647,1.105802047,0.480243727,2,WT,A
3.024057,1.106599307,0.480589973,2,WT,A
3.049507,1.114979938,0.484229635,2,WT,A
3.088319,1.12762693,0.489722153,2,WT,A
3.141278,1.144629723,0.497106373,2,WT,A
3.203283,1.164176221,0.505595309,2,WT,A
3.223491,1.170464934,0.508326462,2,WT,A
3.229795,1.172418668,0.509174958,2,WT,A
3.306895,1.196009683,0.519420405,2,WT,A
3.325798,1.201709645,0.521895868,2,WT,A
3.371083,1.215234058,0.527769445,2,WT,A
3.428878,1.232233094,0.535152033,2,WT,A
3.434305,1.233814576,0.535838862,2,WT,A
3.457124,1.24043703,0.538714957,2,WT,A
3.458805,1.240923154,0.538926078,2,WT,A
3.542811,1.26492048,0.549347984,2,WT,A
3.566602,1.271613322,0.552254649,2,WT,A
3.595607,1.279712823,0.555772217,2,WT,A
3.597426,1.28021859,0.555991869,2,WT,A
